Phone timestamp;HR [bpm];
2024-05-20T22:27:13.885;165;0,5
2024-05-20T22:27:14.857;164;2,1
2024-05-20T22:27:15.857;163;1,9
2024-05-20T22:27:16.854;162;1,9
2024-05-20T22:27:17.840;160;1,8
2024-05-20T22:27:18.866;159;1,7
2024-05-20T22:27:19.866;158;1,7
2024-05-20T22:27:20.846;157;1,7
2024-05-20T22:27:21.858;155;1,7
2024-05-20T22:27:22.866;153;1,8
2024-05-20T22:27:23.835;152;1,8
2024-05-20T22:27:24.874;151;1,8
2024-05-20T22:27:25.914;150;1,8
2024-05-20T22:27:26.845;150;1,5
2024-05-20T22:27:27.893;149;1,6
2024-05-20T22:27:28.864;148;2,0
2024-05-20T22:27:29.843;148;2,1
2024-05-20T22:27:30.827;147;2,6
2024-05-20T22:27:31.853;146;2,5
2024-05-20T22:27:32.863;146;2,8
2024-05-20T22:27:33.834;144;2,9
2024-05-20T22:27:34.854;143;2,9
2024-05-20T22:27:35.846;142;2,9
2024-05-20T22:27:36.843;141;2,9
2024-05-20T22:27:37.865;140;2,9
2024-05-20T22:27:38.845;139;3,8
2024-05-20T22:27:39.832;137;3,8
2024-05-20T22:27:40.895;136;3,9
2024-05-20T22:27:41.838;134;5,9
2024-05-20T22:27:42.834;132;6,0
2024-05-20T22:27:43.853;131;6,0
2024-05-20T22:27:44.867;130;6,1
2024-05-20T22:27:45.876;129;6,1
2024-05-20T22:27:46.855;129;6,1
2024-05-20T22:27:47.845;128;6,0
2024-05-20T22:27:48.838;127;6,0
2024-05-20T22:27:49.859;126;6,4
2024-05-20T22:27:50.854;124;6,3
2024-05-20T22:27:51.825;123;6,3
2024-05-20T22:27:52.852;122;7,2
2024-05-20T22:27:53.835;121;7,4
2024-05-20T22:27:54.845;120;7,5
2024-05-20T22:27:55.856;120;7,5
2024-05-20T22:27:56.854;119;5,8
2024-05-20T22:27:57.831;119;6,0
2024-05-20T22:27:58.858;120;6,0
2024-05-20T22:27:59.841;120;5,6
2024-05-20T22:28:00.845;120;5,9
2024-05-20T22:28:01.855;120;5,9
2024-05-20T22:28:02.839;120;5,9
2024-05-20T22:28:03.845;120;5,9
2024-05-20T22:28:04.865;119;5,5
2024-05-20T22:28:05.854;119;5,5
2024-05-20T22:28:06.834;118;5,6
2024-05-20T22:28:07.858;118;4,6
2024-05-20T22:28:08.858;117;4,1
2024-05-20T22:28:09.842;117;4,1
2024-05-20T22:28:10.855;117;4,0
2024-05-20T22:28:11.874;117;4,6
2024-05-20T22:28:12.846;117;4,7
2024-05-20T22:28:13.865;116;4,9
2024-05-20T22:28:14.854;116;5,4
2024-05-20T22:28:15.832;115;6,4
2024-05-20T22:28:16.845;115;6,4
2024-05-20T22:28:17.854;114;6,4
2024-05-20T22:28:18.875;114;6,4
2024-05-20T22:28:19.854;114;7,1
2024-05-20T22:28:20.841;114;8,0
2024-05-20T22:28:21.845;115;8,3
2024-05-20T22:28:22.864;116;8,7
2024-05-20T22:28:23.845;116;8,6
2024-05-20T22:28:24.827;116;8,5
2024-05-20T22:28:25.882;115;8,5
2024-05-20T22:28:26.854;115;8,2
2024-05-20T22:28:27.845;114;8,1
2024-05-20T22:28:28.847;113;8,2
2024-05-20T22:28:29.844;113;7,7
2024-05-20T22:28:30.845;113;8,5
2024-05-20T22:28:31.866;113;7,5
2024-05-20T22:28:32.841;113;7,5
2024-05-20T22:28:33.835;113;7,5
2024-05-20T22:28:34.850;113;7,4
2024-05-20T22:28:35.843;111;6,5
2024-05-20T22:28:36.844;111;6,5
2024-05-20T22:28:37.864;110;6,5
2024-05-20T22:28:38.844;109;5,8
2024-05-20T22:28:39.828;108;5,8
2024-05-20T22:28:40.885;108;5,8
2024-05-20T22:28:41.854;108;6,3
2024-05-20T22:28:42.835;108;6,9
2024-05-20T22:28:43.853;108;7,1
2024-05-20T22:28:44.842;107;7,1
2024-05-20T22:28:45.846;107;7,8
2024-05-20T22:28:46.866;106;8,2
2024-05-20T22:28:47.843;105;7,9
2024-05-20T22:28:48.828;104;8,0
2024-05-20T22:28:49.866;104;8,2
2024-05-20T22:28:50.854;104;8,1
2024-05-20T22:28:51.864;103;8,1
