Phone timestamp;HR [bpm];
2024-05-03T17:23:48.108;96
2024-05-03T17:23:49.126;96
2024-05-03T17:23:50.128;95
2024-05-03T17:23:51.150;94;19,3
2024-05-03T17:23:52.147;93;19,2
2024-05-03T17:23:53.133;92;17,5
2024-05-03T17:23:54.140;91;19,1
2024-05-03T17:23:55.142;91;17,3
2024-05-03T17:23:56.162;92;17,3
2024-05-03T17:23:57.150;92;19,2
2024-05-03T17:23:58.132;93;18,6
2024-05-03T17:23:59.115;93;18,6
2024-05-03T17:24:00.153;93;18,1
2024-05-03T17:24:01.144;92;18,0
2024-05-03T17:24:02.124;92;17,6
2024-05-03T17:24:03.171;92;17,1
2024-05-03T17:24:04.127;91;16,7
2024-05-03T17:24:05.132;90;16,4
2024-05-03T17:24:06.182;90;20,8
2024-05-03T17:24:07.203;89;20,1
2024-05-03T17:24:08.113;89;23,8
2024-05-03T17:24:09.152;89;25,3
2024-05-03T17:24:10.143;89;24,8
2024-05-03T17:24:11.121;88;24,0
2024-05-03T17:24:12.143;89;28,2
2024-05-03T17:24:13.123;89;32,7
2024-05-03T17:24:14.121;88;32,2
2024-05-03T17:24:15.136;88;37,7
2024-05-03T17:24:16.171;86;37,6
2024-05-03T17:24:17.119;85;37,3
2024-05-03T17:24:18.174;84;37,3
2024-05-03T17:24:19.130;83;36,9
2024-05-03T17:24:20.132;83;37,7
2024-05-03T17:24:21.141;82;37,6
2024-05-03T17:24:22.123;82;37,6
2024-05-03T17:24:23.120;82;38,6
2024-05-03T17:24:24.152;81;41,8
2024-05-03T17:24:25.132;81;41,8
2024-05-03T17:24:26.113;80;40,5
2024-05-03T17:24:27.134;80;41,8
2024-05-03T17:24:28.123;80;40,1
2024-05-03T17:24:29.132;80;39,3
2024-05-03T17:24:30.140;80;40,0
2024-05-03T17:24:31.128;79;40,0
2024-05-03T17:24:32.163;80;32,9
2024-05-03T17:24:33.152;80;33,0
2024-05-03T17:24:34.143;80;29,0
2024-05-03T17:24:35.120;81;26,7
2024-05-03T17:24:36.133;82;26,7
2024-05-03T17:24:37.142;83;26,9
2024-05-03T17:24:38.132;84;27,2
2024-05-03T17:24:39.171;85;27,2
2024-05-03T17:24:40.160;86;27,0
2024-05-03T17:24:41.131;88;27,1
2024-05-03T17:24:42.142;88;25,6
2024-05-03T17:24:43.142;89;20,2
2024-05-03T17:24:44.146;90;20,2
2024-05-03T17:24:45.133;91;19,8
2024-05-03T17:24:46.141;92;19,9
2024-05-03T17:24:47.120;92;17,1
2024-05-03T17:24:48.152;92;17,7
2024-05-03T17:24:49.129;93;18,5
2024-05-03T17:24:50.155;92;17,5
2024-05-03T17:24:51.172;91;17,6
2024-05-03T17:24:52.142;92;18,2
2024-05-03T17:24:53.152;93;18,2
2024-05-03T17:24:54.134;94;18,9
2024-05-03T17:24:55.131;95;18,9
2024-05-03T17:24:56.114;95;19,0
2024-05-03T17:24:57.154;95;18,6
2024-05-03T17:24:58.131;95;18,6
2024-05-03T17:24:59.121;95;17,0
2024-05-03T17:25:00.138;95;18,4
2024-05-03T17:25:01.142;94;18,5
2024-05-03T17:25:02.119;94;17,9
2024-05-03T17:25:03.139;93;19,4
2024-05-03T17:25:04.142;93;19,3
2024-05-03T17:25:05.133;93;17,3
2024-05-03T17:25:06.184;92;17,3
2024-05-03T17:25:07.132;92;16,9
2024-05-03T17:25:08.113;91;15,9
2024-05-03T17:25:09.154;90;15,7
2024-05-03T17:25:10.173;91;17,8
2024-05-03T17:25:11.117;91;17,2
2024-05-03T17:25:12.164;91;17,2
2024-05-03T17:25:13.172;91;21,0
2024-05-03T17:25:14.162;91;21,0
2024-05-03T17:25:15.142;91;19,7
2024-05-03T17:25:16.162;90;20,4
2024-05-03T17:25:17.113;90;22,2
2024-05-03T17:25:18.154;90;22,1
2024-05-03T17:25:19.130;90;20,9
2024-05-03T17:25:20.124;90;20,8
2024-05-03T17:25:21.142;91;20,8
2024-05-03T17:25:22.135;92;19,9
2024-05-03T17:25:23.123;92;19,9
2024-05-03T17:25:24.152;93;19,9
2024-05-03T17:25:25.135;94;19,9
2024-05-03T17:25:26.113;94;20,3
2024-05-03T17:25:27.142;93;20,3
2024-05-03T17:25:28.173;92;21,1
2024-05-03T17:25:29.122;92;19,3
2024-05-03T17:25:30.141;91;19,1
2024-05-03T17:25:31.123;91;17,9
2024-05-03T17:25:32.132;92;14,2
2024-05-03T17:25:33.133;93;14,2
2024-05-03T17:25:34.162;93;14,2
2024-05-03T17:25:35.118;93;11,9
2024-05-03T17:25:36.153;94;11,2
2024-05-03T17:25:37.123;94;12,0
2024-05-03T17:25:38.131;93;12,0
2024-05-03T17:25:39.143;93;14,1
2024-05-03T17:25:40.135;92;14,1
2024-05-03T17:25:41.136;92;13,4
2024-05-03T17:25:42.152;91;15,6
2024-05-03T17:25:43.130;90;15,7
2024-05-03T17:25:44.118;90;15,7
2024-05-03T17:25:45.163;90;15,3
2024-05-03T17:25:46.203;91;15,6
2024-05-03T17:25:47.162;91;14,7
2024-05-03T17:25:48.136;92;14,7
2024-05-03T17:25:49.133;92;16,9
2024-05-03T17:25:50.132;93;19,4
2024-05-03T17:25:51.154;93;19,4
2024-05-03T17:25:52.130;92;20,4
2024-05-03T17:25:53.120;91;21,6
2024-05-03T17:25:54.166;90;21,6
2024-05-03T17:25:55.143;89;21,0
2024-05-03T17:25:56.123;90;21,8
2024-05-03T17:25:57.172;90;21,8
2024-05-03T17:25:58.126;91;20,9
2024-05-03T17:25:59.132;91;20,9
2024-05-03T17:26:00.142;91;20,9
2024-05-03T17:26:01.125;91;19,3
2024-05-03T17:26:02.120;90;19,2
2024-05-03T17:26:03.144;90;19,3
2024-05-03T17:26:04.142;90;19,1
2024-05-03T17:26:05.136;90;19,1
