Phone timestamp;HR [bpm];
2024-05-27T22:45:33.486;149
2024-05-27T22:45:34.505;151
2024-05-27T22:45:35.492;153;0,4
2024-05-27T22:45:36.519;155;1,2
2024-05-27T22:45:37.518;156;1,1
2024-05-27T22:45:38.498;159;1,0
2024-05-27T22:45:39.519;160;0,9
2024-05-27T22:45:40.510;162;0,8
2024-05-27T22:45:41.511;164;1,0
2024-05-27T22:45:42.590;165;0,9
2024-05-27T22:45:43.559;165;0,9
2024-05-27T22:45:44.489;166;0,9
2024-05-27T22:45:45.511;166;1,0
2024-05-27T22:45:46.521;166;1,4
2024-05-27T22:45:47.498;166;1,4
2024-05-27T22:45:48.518;166;1,4
2024-05-27T22:45:49.502;166;1,4
2024-05-27T22:45:50.517;165;1,4
2024-05-27T22:45:51.529;165;1,5
2024-05-27T22:45:52.538;164;1,4
2024-05-27T22:45:53.496;163;1,4
2024-05-27T22:45:54.528;163;1,6
2024-05-27T22:45:55.520;162;1,7
2024-05-27T22:45:56.499;161;1,8
2024-05-27T22:45:57.516;160;1,8
2024-05-27T22:45:58.500;160;1,8
2024-05-27T22:45:59.498;159;1,8
2024-05-27T22:46:00.531;158;1,8
2024-05-27T22:46:01.519;157;1,8
2024-05-27T22:46:02.528;156;1,8
2024-05-27T22:46:03.521;155;1,9
2024-05-27T22:46:04.550;153;1,9
2024-05-27T22:46:05.516;152;2,2
2024-05-27T22:46:06.561;151;2,2
2024-05-27T22:46:07.512;150;2,2
2024-05-27T22:46:08.524;149;2,1
2024-05-27T22:46:09.510;148;2,2
2024-05-27T22:46:10.551;147;2,3
2024-05-27T22:46:11.496;146;2,3
2024-05-27T22:46:12.540;144;2,8
2024-05-27T22:46:13.500;144;2,8
2024-05-27T22:46:14.510;143;2,9
2024-05-27T22:46:15.550;142;3,5
2024-05-27T22:46:16.538;142;3,5
2024-05-27T22:46:17.527;141;3,5
2024-05-27T22:46:18.531;140;3,3
2024-05-27T22:46:19.532;139;3,2
2024-05-27T22:46:20.497;138;3,2
2024-05-27T22:46:21.513;137;3,5
2024-05-27T22:46:22.524;136;3,4
2024-05-27T22:46:23.511;135;3,6
2024-05-27T22:46:24.519;134;3,6
2024-05-27T22:46:25.503;133;3,3
2024-05-27T22:46:26.509;132;3,2
2024-05-27T22:46:27.530;131;3,1
2024-05-27T22:46:28.508;130;2,4
2024-05-27T22:46:29.497;129;2,3
2024-05-27T22:46:30.511;129;2,5
2024-05-27T22:46:31.521;128;2,6
2024-05-27T22:46:32.541;127;2,6
2024-05-27T22:46:33.517;127;2,7
2024-05-27T22:46:34.504;126;3,0
2024-05-27T22:46:35.498;126;2,7
2024-05-27T22:46:36.560;125;2,8
2024-05-27T22:46:37.506;125;2,3
2024-05-27T22:46:38.559;124;2,4
2024-05-27T22:46:39.510;124;2,4
2024-05-27T22:46:40.541;124;2,4
2024-05-27T22:46:41.509;124;2,4
2024-05-27T22:46:42.541;124;2,4
2024-05-27T22:46:43.506;124;2,4
2024-05-27T22:46:44.499;124;2,2
2024-05-27T22:46:45.530;124;2,4
2024-05-27T22:46:46.523;124;2,7
2024-05-27T22:46:47.540;124;2,6
2024-05-27T22:46:48.541;124;2,6
2024-05-27T22:46:49.540;124;2,5
2024-05-27T22:46:50.541;124;3,5
2024-05-27T22:46:51.530;123;3,4
2024-05-27T22:46:52.506;123;3,8
2024-05-27T22:46:53.490;123;3,7
2024-05-27T22:46:54.531;122;3,7
2024-05-27T22:46:55.581;122;3,7
2024-05-27T22:46:56.499;122;3,7
2024-05-27T22:46:57.514;122;3,7
2024-05-27T22:46:58.520;122;4,4
2024-05-27T22:46:59.512;121;4,4
2024-05-27T22:47:00.520;121;4,2
2024-05-27T22:47:01.508;121;4,5
2024-05-27T22:47:02.490;120;4,3
2024-05-27T22:47:03.531;120;4,5
2024-05-27T22:47:04.508;119;3,8
2024-05-27T22:47:05.498;118;4,3
2024-05-27T22:47:06.511;118;4,3
