Phone timestamp;HR [bpm];
2024-05-21T20:57:09.379;170
2024-05-21T20:57:10.351;170
2024-05-21T20:57:11.383;170;0,6
2024-05-21T20:57:12.341;169;2,8
2024-05-21T20:57:13.336;168;2,5
2024-05-21T20:57:14.387;167;2,3
2024-05-21T20:57:15.450;165;2,4
2024-05-21T20:57:16.339;164;2,4
2024-05-21T20:57:17.353;162;2,6
2024-05-21T20:57:18.341;161;2,6
2024-05-21T20:57:19.349;159;3,9
2024-05-21T20:57:20.356;158;4,3
2024-05-21T20:57:21.379;158;5,8
2024-05-21T20:57:22.338;156;5,9
2024-05-21T20:57:23.384;153;7,6
2024-05-21T20:57:24.389;153;7,9
2024-05-21T20:57:25.337;149;7,9
2024-05-21T20:57:26.363;147;7,9
2024-05-21T20:57:27.345;146;7,9
2024-05-21T20:57:28.350;146;7,9
2024-05-21T20:57:29.359;146;7,9
2024-05-21T20:57:30.341;147;7,8
2024-05-21T20:57:31.333;147;7,3
2024-05-21T20:57:32.369;148;6,6
2024-05-21T20:57:33.360;147;5,7
2024-05-21T20:57:34.338;147;5,6
2024-05-21T20:57:35.353;147;2,6
2024-05-21T20:57:36.359;146;1,8
2024-05-21T20:57:37.350;146;1,8
2024-05-21T20:57:38.359;145;1,8
2024-05-21T20:57:39.342;144;1,8
2024-05-21T20:57:40.348;143;1,8
2024-05-21T20:57:41.400;142;1,7
2024-05-21T20:57:42.359;142;2,4
2024-05-21T20:57:43.335;142;2,4
2024-05-21T20:57:44.349;141;2,5
2024-05-21T20:57:45.360;139;2,9
2024-05-21T20:57:46.349;139;3,2
2024-05-21T20:57:47.367;138;3,1
2024-05-21T20:57:48.347;137;3,1
2024-05-21T20:57:49.350;136;3,0
2024-05-21T20:57:50.359;136;3,4
2024-05-21T20:57:51.357;136;3,4
2024-05-21T20:57:52.339;136;3,5
2024-05-21T20:57:53.355;136;3,5
2024-05-21T20:57:54.411;136;3,6
2024-05-21T20:57:55.336;135;3,1
2024-05-21T20:57:56.400;135;3,1
2024-05-21T20:57:57.409;134;2,9
2024-05-21T20:57:58.350;133;2,6
2024-05-21T20:57:59.324;132;2,3
2024-05-21T20:58:00.360;132;2,2
2024-05-21T20:58:01.339;131;2,2
2024-05-21T20:58:02.320;131;3,5
2024-05-21T20:58:03.390;130;3,2
2024-05-21T20:58:04.350;130;3,2
2024-05-21T20:58:05.368;130;3,2
2024-05-21T20:58:06.351;130;3,0
2024-05-21T20:58:07.329;128;3,1
2024-05-21T20:58:08.343;127;3,0
2024-05-21T20:58:09.359;126;3,0
2024-05-21T20:58:10.340;126;3,0
2024-05-21T20:58:11.322;125;3,0
2024-05-21T20:58:12.390;125;3,3
2024-05-21T20:58:13.349;124;3,3
2024-05-21T20:58:14.370;124;3,3
2024-05-21T20:58:15.348;124;3,3
2024-05-21T20:58:16.344;124;2,1
2024-05-21T20:58:17.370;124;1,9
2024-05-21T20:58:18.360;124;1,9
2024-05-21T20:58:19.349;123;2,0
2024-05-21T20:58:20.356;123;1,9
2024-05-21T20:58:21.351;123;2,5
2024-05-21T20:58:22.373;122;2,4
2024-05-21T20:58:23.339;122;2,5
2024-05-21T20:58:24.349;122;2,5
2024-05-21T20:58:25.333;122;2,4
2024-05-21T20:58:26.359;121;2,4
2024-05-21T20:58:27.347;121;2,2
2024-05-21T20:58:28.349;121;2,1
2024-05-21T20:58:29.329;120;2,6
2024-05-21T20:58:30.382;120;2,7
2024-05-21T20:58:31.337;119;2,7
2024-05-21T20:58:32.374;119;2,7
2024-05-21T20:58:33.379;118;3,0
2024-05-21T20:58:34.331;118;2,9
2024-05-21T20:58:35.329;118;2,9
2024-05-21T20:58:36.339;117;2,6
2024-05-21T20:58:37.379;117;2,6
2024-05-21T20:58:38.327;117;3,4
2024-05-21T20:58:39.339;116;3,4
2024-05-21T20:58:40.353;116;3,4
2024-05-21T20:58:41.339;115;4,0
2024-05-21T20:58:42.388;115;4,0
