Phone timestamp;HR [bpm];
2024-05-26T22:28:21.003;129
2024-05-26T22:28:22.067;129
2024-05-26T22:28:23.067;128;4,0
2024-05-26T22:28:24.014;128;3,4
2024-05-26T22:28:25.064;127;4,3
2024-05-26T22:28:26.026;126;4,2
2024-05-26T22:28:27.025;126;5,0
2024-05-26T22:28:28.026;125;4,8
2024-05-26T22:28:29.056;123;6,7
2024-05-26T22:28:30.011;122;6,3
2024-05-26T22:28:31.029;120;6,2
2024-05-26T22:28:32.038;119;6,8
2024-05-26T22:28:33.026;118;6,5
2024-05-26T22:28:34.065;116;6,3
2024-05-26T22:28:35.036;115;6,4
2024-05-26T22:28:36.027;114;6,2
2024-05-26T22:28:37.047;114;7,2
2024-05-26T22:28:38.067;113;7,2
2024-05-26T22:28:39.010;113;7,1
2024-05-26T22:28:40.102;112;8,3
2024-05-26T22:28:41.036;112;8,6
2024-05-26T22:28:42.017;112;8,6
2024-05-26T22:28:43.067;112;8,4
2024-05-26T22:28:44.017;112;8,3
2024-05-26T22:28:45.056;113;10,5
2024-05-26T22:28:46.046;113;10,7
2024-05-26T22:28:47.023;113;11,0
2024-05-26T22:28:48.011;113;10,6
2024-05-26T22:28:49.047;113;10,6
2024-05-26T22:28:50.036;113;10,7
2024-05-26T22:28:51.046;113;10,7
2024-05-26T22:28:52.036;112;10,6
2024-05-26T22:28:53.020;111;11,7
2024-05-26T22:28:54.015;110;14,7
2024-05-26T22:28:55.077;109;14,9
2024-05-26T22:28:56.050;108;15,1
2024-05-26T22:28:57.018;107;15,4
2024-05-26T22:28:58.047;106;14,9
2024-05-26T22:28:59.021;106;14,7
2024-05-26T22:29:00.037;103;14,7
2024-05-26T22:29:01.047;98;14,7
2024-05-26T22:29:02.019;96;15,0
2024-05-26T22:29:03.013;95;15,3
2024-05-26T22:29:04.028;94;13,7
2024-05-26T22:29:05.024;93;13,4
2024-05-26T22:29:06.019;92;13,3
2024-05-26T22:29:07.029;92;13,3
2024-05-26T22:29:08.035;91;13,3
2024-05-26T22:29:09.024;91;13,6
2024-05-26T22:29:10.036;91;14,9
2024-05-26T22:29:11.022;91;15,5
2024-05-26T22:29:12.025;91;14,7
2024-05-26T22:29:13.044;90;11,2
2024-05-26T22:29:14.036;90;14,0
2024-05-26T22:29:15.013;89;13,8
2024-05-26T22:29:16.037;89;13,6
2024-05-26T22:29:17.069;89;13,4
2024-05-26T22:29:18.016;89;13,6
2024-05-26T22:29:19.062;89;14,5
2024-05-26T22:29:20.023;90;14,6
2024-05-26T22:29:21.024;90;14,7
2024-05-26T22:29:22.047;90;15,4
2024-05-26T22:29:23.068;90;15,4
2024-05-26T22:29:24.007;89;15,4
2024-05-26T22:29:25.038;89;15,4
2024-05-26T22:29:26.036;89;15,3
2024-05-26T22:29:27.013;90;15,3
2024-05-26T22:29:28.063;90;16,7
2024-05-26T22:29:29.057;90;15,5
2024-05-26T22:29:30.027;90;15,0
2024-05-26T22:29:31.046;91;15,2
2024-05-26T22:29:32.021;92;15,2
2024-05-26T22:29:33.015;92;14,5
2024-05-26T22:29:34.031;93;15,2
2024-05-26T22:29:35.023;93;15,8
2024-05-26T22:29:36.016;92;16,2
2024-05-26T22:29:37.047;92;16,3
2024-05-26T22:29:38.025;91;16,1
2024-05-26T22:29:39.015;88;15,3
2024-05-26T22:29:40.047;86;15,3
2024-05-26T22:29:41.035;86;15,6
2024-05-26T22:29:42.015;85;15,6
2024-05-26T22:29:43.034;83;14,2
2024-05-26T22:29:44.035;83;14,4
2024-05-26T22:29:45.029;82;14,4
2024-05-26T22:29:46.046;82;14,4
2024-05-26T22:29:47.025;82;14,4
2024-05-26T22:29:48.018;81;14,7
2024-05-26T22:29:49.028;81;12,6
2024-05-26T22:29:50.034;81;13,1
2024-05-26T22:29:51.025;82;13,1
2024-05-26T22:29:52.034;82;14,9
2024-05-26T22:29:53.036;82;14,8
2024-05-26T22:29:54.026;82;14,8
2024-05-26T22:29:55.066;83;12,6
2024-05-26T22:29:56.024;82;11,8
2024-05-26T22:29:57.007;82;11,3
