Phone timestamp;HR [bpm];
2024-05-24T23:33:33.017;70
2024-05-24T23:33:34.078;69
2024-05-24T23:33:35.038;70
2024-05-24T23:33:36.038;70;5,9
2024-05-24T23:33:37.057;71;11,5
2024-05-24T23:33:38.038;73;16,8
2024-05-24T23:33:39.030;74;15,7
2024-05-24T23:33:40.070;76;14,8
2024-05-24T23:33:41.047;78;18,7
2024-05-24T23:33:42.019;79;29,8
2024-05-24T23:33:43.057;81;31,7
2024-05-24T23:33:44.098;82;30,7
2024-05-24T23:33:45.030;80;33,9
2024-05-24T23:33:46.042;79;31,9
2024-05-24T23:33:47.049;78;30,9
2024-05-24T23:33:48.026;76;30,0
2024-05-24T23:33:49.046;74;29,2
2024-05-24T23:33:50.047;73;30,6
2024-05-24T23:33:51.039;71;29,2
2024-05-24T23:33:52.057;70;28,7
2024-05-24T23:33:53.036;71;28,1
2024-05-24T23:33:54.018;71;31,0
2024-05-24T23:33:55.070;72;30,4
2024-05-24T23:33:56.046;72;29,8
2024-05-24T23:33:57.025;73;29,3
2024-05-24T23:33:58.048;73;30,6
2024-05-24T23:33:59.049;73;38,7
2024-05-24T23:34:00.036;73;38,9
2024-05-24T23:34:01.046;71;39,1
2024-05-24T23:34:02.036;70;38,9
2024-05-24T23:34:03.051;69;38,7
2024-05-24T23:34:04.057;67;40,0
2024-05-24T23:34:05.048;66;40,1
2024-05-24T23:34:06.026;65;40,8
2024-05-24T23:34:07.044;66;38,0
2024-05-24T23:34:08.049;66;37,0
2024-05-24T23:34:09.037;67;36,9
2024-05-24T23:34:10.051;68;35,1
2024-05-24T23:34:11.031;69;35,0
2024-05-24T23:34:12.018;70;36,3
2024-05-24T23:34:13.058;70;37,6
2024-05-24T23:34:14.050;70;37,7
2024-05-24T23:34:15.018;69;36,6
2024-05-24T23:34:16.049;68;36,8
2024-05-24T23:34:17.049;67;37,5
2024-05-24T23:34:18.037;66;40,4
2024-05-24T23:34:19.040;67;40,8
2024-05-24T23:34:20.037;67;38,6
2024-05-24T23:34:21.019;69;38,6
2024-05-24T23:34:22.043;70;42,4
2024-05-24T23:34:23.048;70;45,0
2024-05-24T23:34:24.037;71;38,2
2024-05-24T23:34:25.079;70;37,9
2024-05-24T23:34:26.030;69;37,7
2024-05-24T23:34:27.021;68;39,0
2024-05-24T23:34:28.057;67;39,7
2024-05-24T23:34:29.047;66;39,7
2024-05-24T23:34:30.024;66;38,2
2024-05-24T23:34:31.044;66;38,1
2024-05-24T23:34:32.048;67;37,7
2024-05-24T23:34:33.037;68;38,4
2024-05-24T23:34:34.078;68;38,5
2024-05-24T23:34:35.029;68;38,5
2024-05-24T23:34:36.067;67;38,5
2024-05-24T23:34:37.058;66;38,8
2024-05-24T23:34:38.081;65;37,6
2024-05-24T23:34:39.019;65;36,5
2024-05-24T23:34:40.072;65;36,5
2024-05-24T23:34:41.049;65;36,5
2024-05-24T23:34:42.037;66;36,4
2024-05-24T23:34:43.045;67;35,8
2024-05-24T23:34:44.031;67;32,3
2024-05-24T23:34:45.036;67;31,9
2024-05-24T23:34:46.058;67;31,9
2024-05-24T23:34:47.034;67;31,9
2024-05-24T23:34:48.020;67;26,6
2024-05-24T23:34:49.052;67;20,4
2024-05-24T23:34:50.032;67;20,5
2024-05-24T23:34:51.025;67;20,7
2024-05-24T23:34:52.042;66;20,7
2024-05-24T23:34:53.031;65;20,7
2024-05-24T23:34:54.026;64;16,8
2024-05-24T23:34:55.061;64;16,8
2024-05-24T23:34:56.030;63;17,5
2024-05-24T23:34:57.026;64;17,5
2024-05-24T23:34:58.051;64;17,5
2024-05-24T23:34:59.048;65;15,8
2024-05-24T23:35:00.036;65;13,8
