Phone timestamp;HR [bpm];
2024-05-14T11:22:14.846;69
2024-05-14T11:22:15.866;68
2024-05-14T11:22:16.859;68
2024-05-14T11:22:17.851;68;33,0
2024-05-14T11:22:18.899;68;29,5
2024-05-14T11:22:19.861;67;25,5
2024-05-14T11:22:20.852;67;41,2
2024-05-14T11:22:21.869;67;43,8
2024-05-14T11:22:22.859;67;41,6
2024-05-14T11:22:23.854;67;38,3
2024-05-14T11:22:24.897;68;37,1
2024-05-14T11:22:25.857;69;34,6
2024-05-14T11:22:26.850;70;33,5
2024-05-14T11:22:27.867;71;37,3
2024-05-14T11:22:28.862;71;35,3
2024-05-14T11:22:29.847;72;34,9
2024-05-14T11:22:30.870;72;34,1
2024-05-14T11:22:31.922;72;33,4
2024-05-14T11:22:32.879;72;32,4
2024-05-14T11:22:33.863;72;31,7
2024-05-14T11:22:34.862;72;32,2
2024-05-14T11:22:35.879;72;31,6
2024-05-14T11:22:36.870;73;31,0
2024-05-14T11:22:37.861;74;31,7
2024-05-14T11:22:38.849;74;38,4
2024-05-14T11:22:39.867;75;38,8
2024-05-14T11:22:40.860;76;38,3
2024-05-14T11:22:41.852;76;38,0
2024-05-14T11:22:42.868;75;38,0
2024-05-14T11:22:43.860;74;37,9
2024-05-14T11:22:44.849;73;37,9
2024-05-14T11:22:45.871;71;33,6
2024-05-14T11:22:46.921;70;31,7
2024-05-14T11:22:47.853;68;32,0
2024-05-14T11:22:48.901;67;31,9
2024-05-14T11:22:49.862;66;31,9
2024-05-14T11:22:50.845;64;31,7
2024-05-14T11:22:51.869;63;32,0
2024-05-14T11:22:52.861;62;32,1
2024-05-14T11:22:53.847;62;28,8
2024-05-14T11:22:54.868;62;28,8
2024-05-14T11:22:55.862;62;29,1
2024-05-14T11:22:56.881;62;28,9
2024-05-14T11:22:57.867;62;29,1
2024-05-14T11:22:58.859;62;29,2
2024-05-14T11:22:59.854;62;28,9
2024-05-14T11:23:00.873;62;28,9
2024-05-14T11:23:01.861;62;28,9
2024-05-14T11:23:02.849;62;28,2
2024-05-14T11:23:03.863;62;28,2
2024-05-14T11:23:04.863;62;28,3
2024-05-14T11:23:05.879;62;26,9
2024-05-14T11:23:06.865;62;14,7
2024-05-14T11:23:07.865;62;12,0
2024-05-14T11:23:08.847;63;12,5
2024-05-14T11:23:09.868;63;13,1
2024-05-14T11:23:10.852;63;13,3
2024-05-14T11:23:11.881;63;13,4
2024-05-14T11:23:12.871;63;13,4
2024-05-14T11:23:13.887;63;13,3
2024-05-14T11:23:14.842;62;13,4
2024-05-14T11:23:15.869;62;14,5
2024-05-14T11:23:16.861;62;14,5
2024-05-14T11:23:17.883;62;14,5
2024-05-14T11:23:18.872;63;14,1
2024-05-14T11:23:19.919;64;14,2
2024-05-14T11:23:20.850;64;14,4
2024-05-14T11:23:21.870;64;14,8
2024-05-14T11:23:22.862;64;14,8
2024-05-14T11:23:23.880;63;14,3
2024-05-14T11:23:24.869;63;14,2
2024-05-14T11:23:25.891;62;13,8
2024-05-14T11:23:26.851;62;13,5
2024-05-14T11:23:27.865;62;13,2
2024-05-14T11:23:28.883;62;13,2
2024-05-14T11:23:29.849;62;15,9
2024-05-14T11:23:30.869;62;15,2
2024-05-14T11:23:31.860;62;15,1
2024-05-14T11:23:32.878;62;15,1
2024-05-14T11:23:33.864;61;15,3
2024-05-14T11:23:34.857;61;15,2
2024-05-14T11:23:35.851;61;15,4
2024-05-14T11:23:36.866;61;15,9
2024-05-14T11:23:37.854;61;15,3
2024-05-14T11:23:38.881;62;15,1
2024-05-14T11:23:39.871;62;15,1
2024-05-14T11:23:40.859;63;15,1
2024-05-14T11:23:41.850;63;15,2
2024-05-14T11:23:42.866;64;15,3
2024-05-14T11:23:43.856;64;15,2
2024-05-14T11:23:44.850;63;14,1
2024-05-14T11:23:45.869;63;14,4
2024-05-14T11:23:46.857;62;14,2
2024-05-14T11:23:47.844;62;13,8
2024-05-14T11:23:48.901;62;13,6
2024-05-14T11:23:49.858;62;13,2
2024-05-14T11:23:50.851;62;13,2
