Phone timestamp;HR [bpm];
2024-05-18T15:07:17.115;73
2024-05-18T15:07:18.124;73
2024-05-18T15:07:19.157;72
2024-05-18T15:07:20.122;72;20,4
2024-05-18T15:07:21.138;73;24,0
2024-05-18T15:07:22.134;73;21,3
2024-05-18T15:07:23.161;73;21,1
2024-05-18T15:07:24.124;73;20,0
2024-05-18T15:07:25.133;72;19,1
2024-05-18T15:07:26.117;72;18,4
2024-05-18T15:07:27.137;73;19,5
2024-05-18T15:07:28.145;73;18,8
2024-05-18T15:07:29.163;73;18,3
2024-05-18T15:07:30.110;74;17,4
2024-05-18T15:07:31.126;75;17,0
2024-05-18T15:07:32.193;76;16,2
2024-05-18T15:07:33.153;77;15,8
2024-05-18T15:07:34.133;78;15,7
2024-05-18T15:07:35.119;79;15,1
2024-05-18T15:07:36.125;80;15,0
2024-05-18T15:07:37.144;81;15,1
2024-05-18T15:07:38.124;81;14,9
2024-05-18T15:07:39.111;81;14,2
2024-05-18T15:07:40.136;81;14,0
2024-05-18T15:07:41.133;81;14,4
2024-05-18T15:07:42.124;81;15,2
2024-05-18T15:07:43.143;81;13,5
2024-05-18T15:07:44.118;80;13,3
2024-05-18T15:07:45.125;80;12,9
2024-05-18T15:07:46.204;80;13,6
2024-05-18T15:07:47.120;79;15,0
2024-05-18T15:07:48.111;78;14,9
2024-05-18T15:07:49.124;78;14,5
2024-05-18T15:07:50.130;78;13,6
2024-05-18T15:07:51.110;78;13,7
2024-05-18T15:07:52.174;78;15,5
2024-05-18T15:07:53.120;78;19,0
2024-05-18T15:07:54.114;77;19,0
2024-05-18T15:07:55.145;76;19,0
2024-05-18T15:07:56.132;75;19,3
2024-05-18T15:07:57.111;73;19,5
2024-05-18T15:07:58.126;72;20,7
2024-05-18T15:07:59.133;71;21,4
2024-05-18T15:08:00.127;71;21,1
2024-05-18T15:08:01.174;72;21,2
2024-05-18T15:08:02.123;73;21,2
2024-05-18T15:08:03.115;74;21,2
2024-05-18T15:08:04.124;75;21,7
2024-05-18T15:08:05.136;76;24,5
2024-05-18T15:08:06.144;76;25,4
2024-05-18T15:08:07.134;76;25,5
2024-05-18T15:08:08.134;74;25,5
2024-05-18T15:08:09.126;73;25,5
2024-05-18T15:08:10.130;72;25,9
2024-05-18T15:08:11.123;70;25,5
2024-05-18T15:08:12.116;70;25,6
2024-05-18T15:08:13.127;69;25,6
2024-05-18T15:08:14.125;70;25,5
2024-05-18T15:08:15.109;70;25,4
2024-05-18T15:08:16.130;71;25,5
2024-05-18T15:08:17.123;72;25,5
2024-05-18T15:08:18.113;72;23,4
2024-05-18T15:08:19.144;72;24,4
2024-05-18T15:08:20.115;71;24,4
2024-05-18T15:08:21.166;70;24,8
2024-05-18T15:08:22.143;69;24,7
2024-05-18T15:08:23.134;68;24,0
2024-05-18T15:08:24.104;68;24,3
2024-05-18T15:08:25.128;68;23,9
2024-05-18T15:08:26.135;69;23,9
2024-05-18T15:08:27.113;69;25,7
2024-05-18T15:08:28.145;69;26,3
2024-05-18T15:08:29.124;70;25,9
2024-05-18T15:08:30.105;69;22,9
2024-05-18T15:08:31.132;68;20,6
2024-05-18T15:08:32.165;67;20,8
2024-05-18T15:08:33.124;67;23,1
2024-05-18T15:08:34.164;67;23,1
2024-05-18T15:08:35.135;67;22,6
2024-05-18T15:08:36.107;68;21,6
2024-05-18T15:08:37.143;69;21,5
2024-05-18T15:08:38.123;70;21,8
2024-05-18T15:08:39.140;71;23,5
2024-05-18T15:08:40.133;70;23,8
2024-05-18T15:08:41.134;70;23,8
2024-05-18T15:08:42.133;69;22,5
2024-05-18T15:08:43.134;68;22,3
