Phone timestamp;RR-interval [ms]
2024-05-25T22:55:16.942;472
2024-05-25T22:55:17.414;474
2024-05-25T22:55:17.888;474
2024-05-25T22:55:18.362;942
2024-05-25T22:55:19.304;472
2024-05-25T22:55:19.776;470
2024-05-25T22:55:20.246;469
2024-05-25T22:55:20.715;473
2024-05-25T22:55:21.188;468
2024-05-25T22:55:21.656;465
2024-05-25T22:55:22.121;464
2024-05-25T22:55:22.585;463
2024-05-25T22:55:23.048;463
2024-05-25T22:55:23.511;467
2024-05-25T22:55:23.978;466
2024-05-25T22:55:24.444;465
2024-05-25T22:55:24.909;467
2024-05-25T22:55:25.376;470
2024-05-25T22:55:25.846;474
2024-05-25T22:55:26.320;477
2024-05-25T22:55:26.797;479
2024-05-25T22:55:27.276;482
2024-05-25T22:55:27.758;481
2024-05-25T22:55:28.239;483
2024-05-25T22:55:28.722;486
2024-05-25T22:55:29.208;485
2024-05-25T22:55:29.693;480
2024-05-25T22:55:30.173;482
2024-05-25T22:55:30.655;480
2024-05-25T22:55:31.135;479
2024-05-25T22:55:31.614;471
2024-05-25T22:55:32.085;468
2024-05-25T22:55:32.553;469
2024-05-25T22:55:33.022;464
2024-05-25T22:55:33.486;459
2024-05-25T22:55:33.945;460
2024-05-25T22:55:34.405;460
2024-05-25T22:55:34.865;460
2024-05-25T22:55:35.325;464
2024-05-25T22:55:35.789;463
2024-05-25T22:55:36.252;466
2024-05-25T22:55:36.718;472
2024-05-25T22:55:37.190;474
2024-05-25T22:55:37.664;470
2024-05-25T22:55:38.134;473
2024-05-25T22:55:38.607;470
2024-05-25T22:55:39.077;472
2024-05-25T22:55:39.549;469
2024-05-25T22:55:40.018;471
2024-05-25T22:55:40.489;473
2024-05-25T22:55:40.962;471
2024-05-25T22:55:41.433;474
2024-05-25T22:55:41.907;471
2024-05-25T22:55:42.378;470
2024-05-25T22:55:42.848;473
2024-05-25T22:55:43.321;472
2024-05-25T22:55:43.793;475
2024-05-25T22:55:44.268;472
2024-05-25T22:55:44.740;474
2024-05-25T22:55:45.214;474
2024-05-25T22:55:45.688;474
2024-05-25T22:55:46.162;470
2024-05-25T22:55:46.632;471
2024-05-25T22:55:47.103;473
2024-05-25T22:55:47.576;475
2024-05-25T22:55:48.051;474
2024-05-25T22:55:48.525;474
2024-05-25T22:55:48.999;473
2024-05-25T22:55:49.472;477
2024-05-25T22:55:49.949;479
2024-05-25T22:55:50.428;477
2024-05-25T22:55:50.905;478
2024-05-25T22:55:51.383;478
2024-05-25T22:55:51.861;482
2024-05-25T22:55:52.343;484
2024-05-25T22:55:52.827;492
2024-05-25T22:55:53.319;487
2024-05-25T22:55:53.806;495
2024-05-25T22:55:54.301;493
2024-05-25T22:55:54.794;492
2024-05-25T22:55:55.286;491
2024-05-25T22:55:55.777;488
2024-05-25T22:55:56.265;486
2024-05-25T22:55:56.751;484
2024-05-25T22:55:57.235;483
2024-05-25T22:55:57.718;477
2024-05-25T22:55:58.195;474
2024-05-25T22:55:58.669;475
2024-05-25T22:55:59.144;471
2024-05-25T22:55:59.615;470
2024-05-25T22:56:00.085;469
2024-05-25T22:56:00.554;468
2024-05-25T22:56:01.022;468
2024-05-25T22:56:01.490;469
2024-05-25T22:56:01.959;468
2024-05-25T22:56:02.427;466
2024-05-25T22:56:02.893;468
2024-05-25T22:56:03.361;468
2024-05-25T22:56:03.829;469
2024-05-25T22:56:04.298;468
2024-05-25T22:56:04.766;466
2024-05-25T22:56:05.232;468
2024-05-25T22:56:05.700;468
2024-05-25T22:56:06.168;467
2024-05-25T22:56:06.635;463
2024-05-25T22:56:07.098;469
2024-05-25T22:56:07.567;465
2024-05-25T22:56:08.032;467
2024-05-25T22:56:08.499;465
2024-05-25T22:56:08.964;464
2024-05-25T22:56:09.428;468
2024-05-25T22:56:09.896;470
2024-05-25T22:56:10.366;473
2024-05-25T22:56:10.839;470
2024-05-25T22:56:11.309;474
2024-05-25T22:56:11.783;473
2024-05-25T22:56:12.256;470
2024-05-25T22:56:12.726;463
2024-05-25T22:56:13.189;465
2024-05-25T22:56:13.654;465
2024-05-25T22:56:14.119;462
2024-05-25T22:56:14.581;461
2024-05-25T22:56:15.042;456
2024-05-25T22:56:15.498;459
2024-05-25T22:56:15.957;456
2024-05-25T22:56:16.413;458
2024-05-25T22:56:16.871;456
2024-05-25T22:56:17.327;454
2024-05-25T22:56:17.781;458
2024-05-25T22:56:18.239;457
2024-05-25T22:56:18.696;459
2024-05-25T22:56:19.155;459
2024-05-25T22:56:19.614;458
2024-05-25T22:56:20.072;459
2024-05-25T22:56:20.531;463
2024-05-25T22:56:20.994;466
2024-05-25T22:56:21.460;466
2024-05-25T22:56:21.926;467
2024-05-25T22:56:22.393;467
2024-05-25T22:56:22.860;463
2024-05-25T22:56:23.323;458
2024-05-25T22:56:23.781;456
2024-05-25T22:56:24.237;461
2024-05-25T22:56:24.698;463
2024-05-25T22:56:25.161;467
2024-05-25T22:56:25.628;474
2024-05-25T22:56:26.102;479
2024-05-25T22:56:26.581;479
2024-05-25T22:56:27.060;482
2024-05-25T22:56:27.542;485
2024-05-25T22:56:28.027;486
2024-05-25T22:56:28.513;488
2024-05-25T22:56:29.001;484
2024-05-25T22:56:29.485;486
2024-05-25T22:56:29.971;488
2024-05-25T22:56:30.459;489
2024-05-25T22:56:30.948;490
2024-05-25T22:56:31.438;490
2024-05-25T22:56:31.928;489
2024-05-25T22:56:32.417;496
2024-05-25T22:56:32.913;497
2024-05-25T22:56:33.410;499
2024-05-25T22:56:33.909;501
2024-05-25T22:56:34.410;498
2024-05-25T22:56:34.908;498
2024-05-25T22:56:35.406;500
2024-05-25T22:56:35.906;501
2024-05-25T22:56:36.407;500
2024-05-25T22:56:36.907;498
2024-05-25T22:56:37.405;498
2024-05-25T22:56:37.903;498
2024-05-25T22:56:38.401;499
2024-05-25T22:56:38.900;500
2024-05-25T22:56:39.400;503
2024-05-25T22:56:39.903;499
2024-05-25T22:56:40.402;501
2024-05-25T22:56:40.903;503
2024-05-25T22:56:41.406;502
2024-05-25T22:56:41.908;504
2024-05-25T22:56:42.412;501
2024-05-25T22:56:42.913;500
2024-05-25T22:56:43.413;505
2024-05-25T22:56:43.918;505
2024-05-25T22:56:44.423;510
2024-05-25T22:56:44.933;512
2024-05-25T22:56:45.445;508
2024-05-25T22:56:45.953;506
2024-05-25T22:56:46.459;507
2024-05-25T22:56:46.966;508
2024-05-25T22:56:47.474;510
2024-05-25T22:56:47.984;512
2024-05-25T22:56:48.496;509
2024-05-25T22:56:49.005;511
2024-05-25T22:56:49.516;509
2024-05-25T22:56:50.025;508
2024-05-25T22:56:50.533;508
2024-05-25T22:56:51.041;506
2024-05-25T22:56:51.547;501
2024-05-25T22:56:52.048;506
2024-05-25T22:56:52.554;503
2024-05-25T22:56:53.057;503
2024-05-25T22:56:53.560;500
2024-05-25T22:56:54.060;497
2024-05-25T22:56:54.557;499
2024-05-25T22:56:55.056;502
2024-05-25T22:56:55.558;504
2024-05-25T22:56:56.062;506
