Phone timestamp;RR-interval [ms]
2024-05-13T22:17:14.804;802
2024-05-13T22:17:15.606;995
2024-05-13T22:17:16.601;2717
2024-05-13T22:17:15.023;906
2024-05-13T22:17:15.929;794
2024-05-13T22:17:16.723;732
2024-05-13T22:17:17.455;735
2024-05-13T22:17:18.190;938
2024-05-13T22:17:19.128;922
2024-05-13T22:17:20.050;851
2024-05-13T22:17:20.901;861
2024-05-13T22:17:21.762;940
2024-05-13T22:17:22.702;962
2024-05-13T22:17:23.664;893
2024-05-13T22:17:24.557;852
2024-05-13T22:17:25.409;910
2024-05-13T22:17:26.319;950
2024-05-13T22:17:27.269;907
2024-05-13T22:17:28.176;651
2024-05-13T22:17:28.827;397
2024-05-13T22:17:29.224;2243
2024-05-13T22:17:27.172;931
2024-05-13T22:17:28.103;973
2024-05-13T22:17:29.076;927
2024-05-13T22:17:30.003;972
2024-05-13T22:17:30.975;1009
2024-05-13T22:17:31.984;941
2024-05-13T22:17:32.925;958
2024-05-13T22:17:33.883;974
2024-05-13T22:17:34.857;883
2024-05-13T22:17:35.740;425
2024-05-13T22:17:36.165;277
2024-05-13T22:17:36.442;1056
2024-05-13T22:17:37.498;839
2024-05-13T22:17:38.337;840
2024-05-13T22:17:39.177;921
2024-05-13T22:17:40.098;983
2024-05-13T22:17:41.081;913
2024-05-13T22:17:41.994;948
2024-05-13T22:17:42.942;966
2024-05-13T22:17:43.908;938
2024-05-13T22:17:44.846;896
2024-05-13T22:17:45.742;915
2024-05-13T22:17:46.657;954
2024-05-13T22:17:47.611;902
2024-05-13T22:17:48.513;915
2024-05-13T22:17:49.428;979
2024-05-13T22:17:50.407;974
2024-05-13T22:17:51.381;981
2024-05-13T22:17:52.362;1062
2024-05-13T22:17:53.424;1026
2024-05-13T22:17:54.450;949
2024-05-13T22:17:55.399;965
2024-05-13T22:17:56.364;973
2024-05-13T22:17:57.337;926
2024-05-13T22:17:58.263;895
2024-05-13T22:17:59.158;960
2024-05-13T22:18:00.118;1028
2024-05-13T22:18:01.146;956
2024-05-13T22:18:02.102;977
2024-05-13T22:18:03.079;1021
2024-05-13T22:18:04.100;1008
2024-05-13T22:18:05.108;969
2024-05-13T22:18:06.077;1011
2024-05-13T22:18:07.088;1036
2024-05-13T22:18:08.124;974
2024-05-13T22:18:09.098;961
2024-05-13T22:18:10.059;1040
2024-05-13T22:18:11.099;1071
2024-05-13T22:18:12.170;1009
2024-05-13T22:18:13.179;984
2024-05-13T22:18:14.163;1033
2024-05-13T22:18:15.196;1032
2024-05-13T22:18:16.228;972
2024-05-13T22:18:17.200;913
2024-05-13T22:18:18.113;950
2024-05-13T22:18:19.063;1034
2024-05-13T22:18:20.097;983
2024-05-13T22:18:21.080;992
2024-05-13T22:18:22.072;1045
2024-05-13T22:18:23.117;1023
2024-05-13T22:18:24.140;968
2024-05-13T22:18:25.108;978
2024-05-13T22:18:26.086;1002
2024-05-13T22:18:27.088;957
2024-05-13T22:18:28.045;922
2024-05-13T22:18:28.967;962
2024-05-13T22:18:29.929;1025
2024-05-13T22:18:30.954;955
2024-05-13T22:18:31.909;929
2024-05-13T22:18:32.838;995
2024-05-13T22:18:33.833;1039
2024-05-13T22:18:34.872;958
2024-05-13T22:18:35.830;949
2024-05-13T22:18:36.779;977
2024-05-13T22:18:37.756;959
2024-05-13T22:18:38.715;894
2024-05-13T22:18:39.609;927
2024-05-13T22:18:40.536;963
2024-05-13T22:18:41.499;903
2024-05-13T22:18:42.402;891
2024-05-13T22:18:43.293;881
