Phone timestamp;RR-interval [ms]
2024-05-23T22:27:52.722;770
2024-05-23T22:27:53.492;829
2024-05-23T22:27:54.321;797
2024-05-23T22:27:55.118;739
2024-05-23T22:27:55.857;738
2024-05-23T22:27:56.595;759
2024-05-23T22:27:57.354;689
2024-05-23T22:27:58.043;667
2024-05-23T22:27:58.710;684
2024-05-23T22:27:59.394;678
2024-05-23T22:28:00.072;713
2024-05-23T22:28:00.785;729
2024-05-23T22:28:01.514;759
2024-05-23T22:28:02.273;798
2024-05-23T22:28:03.071;747
2024-05-23T22:28:03.818;743
2024-05-23T22:28:04.561;744
2024-05-23T22:28:05.305;740
2024-05-23T22:28:06.045;735
2024-05-23T22:28:06.780;706
2024-05-23T22:28:07.486;737
2024-05-23T22:28:08.223;771
2024-05-23T22:28:08.994;805
2024-05-23T22:28:09.799;806
2024-05-23T22:28:10.605;791
2024-05-23T22:28:11.396;788
2024-05-23T22:28:12.184;799
2024-05-23T22:28:12.983;784
2024-05-23T22:28:13.767;785
2024-05-23T22:28:14.552;801
2024-05-23T22:28:15.353;815
2024-05-23T22:28:16.168;812
2024-05-23T22:28:16.980;771
2024-05-23T22:28:17.751;774
2024-05-23T22:28:18.525;770
2024-05-23T22:28:19.295;779
2024-05-23T22:28:20.074;756
2024-05-23T22:28:20.830;758
2024-05-23T22:28:21.588;768
2024-05-23T22:28:22.356;788
2024-05-23T22:28:23.144;787
2024-05-23T22:28:23.931;778
2024-05-23T22:28:24.709;810
2024-05-23T22:28:25.519;845
2024-05-23T22:28:26.364;858
2024-05-23T22:28:27.222;819
2024-05-23T22:28:28.041;825
2024-05-23T22:28:28.866;834
2024-05-23T22:28:29.700;817
2024-05-23T22:28:30.517;814
2024-05-23T22:28:31.331;806
2024-05-23T22:28:32.137;799
2024-05-23T22:28:32.936;753
2024-05-23T22:28:33.689;738
2024-05-23T22:28:34.427;740
2024-05-23T22:28:35.167;785
2024-05-23T22:28:35.952;800
2024-05-23T22:28:36.752;833
2024-05-23T22:28:37.585;870
2024-05-23T22:28:38.455;881
2024-05-23T22:28:39.336;866
2024-05-23T22:28:40.202;868
2024-05-23T22:28:41.070;865
2024-05-23T22:28:41.935;836
2024-05-23T22:28:42.771;805
2024-05-23T22:28:43.576;813
2024-05-23T22:28:44.389;821
2024-05-23T22:28:45.210;843
2024-05-23T22:28:46.053;806
2024-05-23T22:28:46.859;819
2024-05-23T22:28:47.678;840
2024-05-23T22:28:48.518;839
2024-05-23T22:28:49.357;815
2024-05-23T22:28:50.172;817
2024-05-23T22:28:50.989;831
2024-05-23T22:28:51.820;795
2024-05-23T22:28:52.615;826
2024-05-23T22:28:53.441;857
2024-05-23T22:28:54.298;854
2024-05-23T22:28:55.152;816
2024-05-23T22:28:55.968;814
2024-05-23T22:28:56.782;820
2024-05-23T22:28:57.602;800
2024-05-23T22:28:58.402;797
2024-05-23T22:28:59.199;825
2024-05-23T22:29:00.024;849
2024-05-23T22:29:00.873;825
2024-05-23T22:29:01.698;821
2024-05-23T22:29:02.519;838
2024-05-23T22:29:03.357;844
2024-05-23T22:29:04.201;805
2024-05-23T22:29:05.006;789
2024-05-23T22:29:05.795;789
2024-05-23T22:29:06.584;774
2024-05-23T22:29:07.358;767
2024-05-23T22:29:08.125;780
2024-05-23T22:29:08.905;818
2024-05-23T22:29:09.723;807
2024-05-23T22:29:10.530;850
2024-05-23T22:29:11.380;860
2024-05-23T22:29:12.240;823
2024-05-23T22:29:13.063;836
2024-05-23T22:29:13.899;826
2024-05-23T22:29:14.725;775
2024-05-23T22:29:15.500;772
2024-05-23T22:29:16.272;783
2024-05-23T22:29:17.055;796
2024-05-23T22:29:17.851;767
2024-05-23T22:29:18.618;783
2024-05-23T22:29:19.401;826
2024-05-23T22:29:20.227;817
2024-05-23T22:29:21.044;843
2024-05-23T22:29:21.887;848
2024-05-23T22:29:22.735;840
2024-05-23T22:29:23.575;824
2024-05-23T22:29:24.399;839
2024-05-23T22:29:25.238;827
2024-05-23T22:29:26.065;833
2024-05-23T22:29:26.898;849
2024-05-23T22:29:27.747;843
2024-05-23T22:29:28.590;803
