Phone timestamp;RR-interval [ms]
2024-05-24T23:25:32.436;596
2024-05-24T23:25:33.032;598
2024-05-24T23:25:33.630;598
2024-05-24T23:25:34.228;599
2024-05-24T23:25:34.827;609
2024-05-24T23:25:35.436;592
2024-05-24T23:25:36.028;598
2024-05-24T23:25:36.626;596
2024-05-24T23:25:37.222;596
2024-05-24T23:25:37.818;581
2024-05-24T23:25:38.399;556
2024-05-24T23:25:38.955;560
2024-05-24T23:25:39.515;555
2024-05-24T23:25:40.070;554
2024-05-24T23:25:40.624;551
2024-05-24T23:25:41.175;552
2024-05-24T23:25:41.727;565
2024-05-24T23:25:42.292;590
2024-05-24T23:25:42.882;630
2024-05-24T23:25:43.512;659
2024-05-24T23:25:44.171;620
2024-05-24T23:25:44.791;636
2024-05-24T23:25:45.427;629
2024-05-24T23:25:46.056;627
2024-05-24T23:25:46.683;618
2024-05-24T23:25:47.301;601
2024-05-24T23:25:47.902;587
2024-05-24T23:25:48.489;592
2024-05-24T23:25:49.081;605
2024-05-24T23:25:49.686;668
2024-05-24T23:25:50.354;706
2024-05-24T23:25:51.060;810
2024-05-24T23:25:51.870;863
2024-05-24T23:25:52.733;879
2024-05-24T23:25:53.612;813
2024-05-24T23:25:54.425;753
2024-05-24T23:25:55.178;735
2024-05-24T23:25:55.913;704
2024-05-24T23:25:56.617;677
2024-05-24T23:25:57.294;636
2024-05-24T23:25:57.930;628
2024-05-24T23:25:58.558;626
2024-05-24T23:25:59.184;638
2024-05-24T23:25:59.822;657
2024-05-24T23:26:00.479;712
2024-05-24T23:26:01.191;917
2024-05-24T23:26:02.108;955
2024-05-24T23:26:03.063;851
2024-05-24T23:26:03.914;797
2024-05-24T23:26:04.711;784
2024-05-24T23:26:05.495;748
2024-05-24T23:26:06.243;708
2024-05-24T23:26:06.951;672
2024-05-24T23:26:07.623;673
2024-05-24T23:26:08.296;681
2024-05-24T23:26:08.977;684
2024-05-24T23:26:09.661;690
2024-05-24T23:26:10.351;673
2024-05-24T23:26:11.024;667
2024-05-24T23:26:11.691;682
2024-05-24T23:26:12.373;735
2024-05-24T23:26:13.108;837
2024-05-24T23:26:13.945;810
2024-05-24T23:26:14.755;851
2024-05-24T23:26:15.606;908
2024-05-24T23:26:16.514;831
2024-05-24T23:26:17.345;813
2024-05-24T23:26:18.158;805
2024-05-24T23:26:18.963;781
2024-05-24T23:26:19.744;776
2024-05-24T23:26:20.520;798
2024-05-24T23:26:21.318;826
2024-05-24T23:26:22.144;795
2024-05-24T23:26:22.939;823
2024-05-24T23:26:23.762;852
2024-05-24T23:26:24.614;814
2024-05-24T23:26:25.428;741
2024-05-24T23:26:26.169;701
2024-05-24T23:26:26.870;709
2024-05-24T23:26:27.579;710
2024-05-24T23:26:28.289;737
2024-05-24T23:26:29.026;723
2024-05-24T23:26:29.749;771
2024-05-24T23:26:30.520;841
2024-05-24T23:26:31.361;877
2024-05-24T23:26:32.238;806
2024-05-24T23:26:33.044;833
2024-05-24T23:26:33.877;842
2024-05-24T23:26:34.719;818
2024-05-24T23:26:35.537;757
2024-05-24T23:26:36.294;750
2024-05-24T23:26:37.044;754
2024-05-24T23:26:37.798;741
2024-05-24T23:26:38.539;745
2024-05-24T23:26:39.284;819
2024-05-24T23:26:40.103;912
2024-05-24T23:26:41.015;927
2024-05-24T23:26:41.942;876
2024-05-24T23:26:42.818;909
2024-05-24T23:26:43.727;903
2024-05-24T23:26:44.630;853
2024-05-24T23:26:45.483;839
2024-05-24T23:26:46.322;845
2024-05-24T23:26:47.167;879
2024-05-24T23:26:48.046;875
2024-05-24T23:26:48.921;917
2024-05-24T23:26:49.838;961
2024-05-24T23:26:50.799;938
2024-05-24T23:26:51.737;935
2024-05-24T23:26:52.672;913
2024-05-24T23:26:53.585;875
2024-05-24T23:26:54.460;858
2024-05-24T23:26:55.318;844
2024-05-24T23:26:56.162;807
2024-05-24T23:26:56.969;834
2024-05-24T23:26:57.803;877
2024-05-24T23:26:58.680;884
2024-05-24T23:26:59.564;855
2024-05-24T23:27:00.419;865
2024-05-24T23:27:01.284;888
2024-05-24T23:27:02.172;828
