Phone timestamp;RR-interval [ms]
2024-05-11T14:38:35.011;921
2024-05-11T14:38:35.932;869
2024-05-11T14:38:36.801;917
2024-05-11T14:38:37.718;991
2024-05-11T14:38:38.709;976
2024-05-11T14:38:39.685;932
2024-05-11T14:38:40.617;942
2024-05-11T14:38:41.559;943
2024-05-11T14:38:42.502;881
2024-05-11T14:38:43.383;872
2024-05-11T14:38:44.255;870
2024-05-11T14:38:45.125;839
2024-05-11T14:38:45.964;840
2024-05-11T14:38:46.804;854
2024-05-11T14:38:47.658;898
2024-05-11T14:38:48.556;867
2024-05-11T14:38:49.423;899
2024-05-11T14:38:50.322;910
2024-05-11T14:38:51.232;870
2024-05-11T14:38:52.102;867
2024-05-11T14:38:52.969;834
2024-05-11T14:38:53.803;774
2024-05-11T14:38:54.577;802
2024-05-11T14:38:55.379;815
2024-05-11T14:38:56.194;847
2024-05-11T14:38:57.041;806
2024-05-11T14:38:57.847;860
2024-05-11T14:38:58.707;888
2024-05-11T14:38:59.595;865
2024-05-11T14:39:00.460;828
2024-05-11T14:39:01.288;838
2024-05-11T14:39:02.126;841
2024-05-11T14:39:02.967;834
2024-05-11T14:39:03.801;842
2024-05-11T14:39:04.643;879
2024-05-11T14:39:05.522;890
2024-05-11T14:39:06.412;847
2024-05-11T14:39:07.259;811
2024-05-11T14:39:08.070;841
2024-05-11T14:39:08.911;917
2024-05-11T14:39:09.828;898
2024-05-11T14:39:10.726;914
2024-05-11T14:39:11.640;966
2024-05-11T14:39:12.606;952
2024-05-11T14:39:13.558;886
2024-05-11T14:39:14.444;858
2024-05-11T14:39:15.302;892
2024-05-11T14:39:16.194;918
2024-05-11T14:39:17.112;941
2024-05-11T14:39:18.053;924
2024-05-11T14:39:18.977;917
2024-05-11T14:39:19.894;948
2024-05-11T14:39:20.842;974
2024-05-11T14:39:21.816;966
2024-05-11T14:39:22.782;930
2024-05-11T14:39:23.712;939
2024-05-11T14:39:24.651;944
2024-05-11T14:39:25.595;946
2024-05-11T14:39:26.541;897
2024-05-11T14:39:27.438;897
2024-05-11T14:39:28.335;912
2024-05-11T14:39:29.247;828
2024-05-11T14:39:30.075;757
2024-05-11T14:39:30.832;792
2024-05-11T14:39:31.624;879
2024-05-11T14:39:32.503;986
2024-05-11T14:39:33.489;1025
2024-05-11T14:39:34.514;956
2024-05-11T14:39:35.470;912
2024-05-11T14:39:36.382;901
2024-05-11T14:39:37.283;893
2024-05-11T14:39:38.176;853
2024-05-11T14:39:39.029;830
2024-05-11T14:39:39.859;880
2024-05-11T14:39:40.739;916
2024-05-11T14:39:41.655;907
2024-05-11T14:39:42.562;856
2024-05-11T14:39:43.418;863
2024-05-11T14:39:44.281;932
2024-05-11T14:39:45.213;965
2024-05-11T14:39:46.178;942
2024-05-11T14:39:47.120;905
2024-05-11T14:39:48.025;919
2024-05-11T14:39:48.944;916
2024-05-11T14:39:49.860;853
2024-05-11T14:39:50.713;877
2024-05-11T14:39:51.590;944
2024-05-11T14:39:52.534;993
2024-05-11T14:39:53.527;951
2024-05-11T14:39:54.478;976
2024-05-11T14:39:55.454;947
2024-05-11T14:39:56.401;952
2024-05-11T14:39:57.353;979
2024-05-11T14:39:58.332;987
2024-05-11T14:39:59.319;938
2024-05-11T14:40:00.257;922
2024-05-11T14:40:01.179;921
2024-05-11T14:40:02.100;908
2024-05-11T14:40:03.008;885
2024-05-11T14:40:03.893;917
2024-05-11T14:40:04.810;966
2024-05-11T14:40:05.776;992
2024-05-11T14:40:06.768;978
2024-05-11T14:40:07.746;999
2024-05-11T14:40:08.745;1016
2024-05-11T14:40:09.761;970
2024-05-11T14:40:10.731;978
2024-05-11T14:40:11.709;990
2024-05-11T14:40:12.699;979
2024-05-11T14:40:13.678;975
2024-05-11T14:40:14.653;996
2024-05-11T14:40:15.649;1012
2024-05-11T14:40:16.661;969
2024-05-11T14:40:17.630;954
2024-05-11T14:40:18.584;980
2024-05-11T14:40:19.564;988
2024-05-11T14:40:20.552;979
2024-05-11T14:40:21.531;996
2024-05-11T14:40:22.527;973
2024-05-11T14:40:23.500;961
2024-05-11T14:40:24.461;989
2024-05-11T14:40:25.450;997
2024-05-11T14:40:26.447;964
2024-05-11T14:40:27.411;986
2024-05-11T14:40:28.397;998
2024-05-11T14:40:29.395;960
2024-05-11T14:40:30.355;948
2024-05-11T14:40:31.303;947
2024-05-11T14:40:32.250;955
2024-05-11T14:40:33.205;923
2024-05-11T14:40:34.128;957
2024-05-11T14:40:35.085;993
2024-05-11T14:40:36.078;977
2024-05-11T14:40:37.055;951
2024-05-11T14:40:38.006;955
2024-05-11T14:40:38.961;948
2024-05-11T14:40:39.909;915
2024-05-11T14:40:40.824;884
2024-05-11T14:40:41.708;909
2024-05-11T14:40:42.617;946
2024-05-11T14:40:43.563;896
